Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0800"
"0.0200","0.0000","0.0449"
"0.0400","0.0000","0.0675"
"0.0600","0.0001","0.0231"
"0.0800","0.0002","0.0920"
"0.1000","0.0003","0.1570"
"0.1200","0.0004","0.1581"
"0.1400","0.0004","0.0574"
"0.1600","0.0004","0.0179"
"0.1800","0.0004","0.1027"
"0.2000","0.0005","0.1811"
"0.2200","0.0008","0.2131"
"0.2400","0.0011","0.2245"
"0.2600","0.0016","0.1360"
"0.2800","0.0021","0.1605"
"0.3000","0.0026","0.1105"
"0.3200","0.0030","0.1041"
"0.3400","0.0034","0.1860"
"0.3600","0.0038","0.1740"
"0.3800","0.0042","0.2189"
"0.4000","0.0048","0.2783"
"0.4200","0.0053","0.2175"
"0.4400","0.0058","0.2090"
"0.4600","0.0062","0.2444"
"0.4800","0.0065","0.3096"
"0.5000","0.0068","0.3429"
"0.5200","0.0072","0.3686"
"0.5400","0.0076","0.3788"
"0.5600","0.0081","0.4012"
"0.5800","0.0085","0.4465"
"0.6000","0.0088","0.4362"
"0.6200","0.0092","0.3943"
"0.6400","0.0095","0.5195"
"0.6600","0.0099","0.5334"
"0.6800","0.0103","0.4743"
"0.7000","0.0107","0.4357"
"0.7200","0.0111","0.4452"
"0.7400","0.0113","0.4704"
"0.7600","0.0115","0.4579"
"0.7800","0.0118","0.3766"
"0.8000","0.0120","0.4057"
"0.8200","0.0123","0.4485"
"0.8400","0.0126","0.3256"
"0.8600","0.0129","0.2871"
"0.8800","0.0133","0.3534"
"0.9000","0.0137","0.3895"
"0.9200","0.0140","0.3920"
"0.9400","0.0143","0.4375"
"0.9600","0.0145","0.4712"
"0.9800","0.0148","0.4824"
"1.0000","0.0151","0.5095"
"1.0200","0.0154","0.5071"
"1.0400","0.0159","0.5117"
"1.0600","0.0163","0.5682"
"1.0800","0.0167","0.5960"
"1.1000","0.0171","0.5027"
"1.1200","0.0174","0.4653"
"1.1400","0.0176","0.5903"
"1.1600","0.0179","0.5880"
"1.1800","0.0181","0.6371"
"1.2000","0.0184","0.6866"
"1.2200","0.0188","0.6247"
"1.2400","0.0192","0.5106"
"1.2600","0.0195","0.4890"
"1.2800","0.0199","0.5206"
"1.3000","0.0202","0.5332"
"1.3200","0.0205","0.5775"
"1.3400","0.0209","0.5985"
"1.3600","0.0212","0.6490"
"1.3800","0.0217","0.5975"
"1.4000","0.0221","0.5867"
"1.4200","0.0224","0.5460"
"1.4400","0.0227","0.5617"
"1.4600","0.0230","0.5524"
"1.4800","0.0232","0.5147"
"1.5000","0.0235","0.5268"
"1.5200","0.0238","0.5318"
"1.5400","0.0241","0.5980"
"1.5600","0.0245","0.6236"
"1.5800","0.0249","0.6377"
"1.6000","0.0252","0.6254"
"1.6200","0.0255","0.6292"
"1.6400","0.0258","0.6232"
"1.6600","0.0261","0.6311"
"1.6800","0.0264","0.6631"
"1.7000","0.0267","0.6995"
"1.7200","0.0271","0.5957"
"1.7400","0.0276","0.6029"
"1.7600","0.0280","0.6337"
"1.7800","0.0284","0.7124"
"1.8000","0.0288","0.7186"
"1.8200","0.0290","0.7140"
"1.8400","0.0292","0.6391"
"1.8600","0.0295","0.5224"
"1.8800","0.0298","0.6456"
"1.9000","0.0301","0.6846"
"1.9200","0.0305","0.7084"
"1.9400","0.0309","0.6503"
"1.9600","0.0312","0.6321"
"1.9800","0.0315","0.5634"
"2.0000","0.0319","0.6308"
"2.0200","0.0322","0.6416"
"2.0400","0.0326","0.6453"
"2.0600","0.0330","0.6094"
"2.0800","0.0334","0.6302"
"2.1000","0.0338","0.7127"
"2.1200","0.0341","0.7649"
"2.1400","0.0344","0.7397"
"2.1600","0.0346","0.6638"
"2.1800","0.0349","0.6924"
"2.2000","0.0352","0.7045"
"2.2200","0.0355","0.6856"
"2.2400","0.0359","0.6819"
"2.2600","0.0362","0.7003"
"2.2800","0.0366","0.7697"
"2.3000","0.0370","0.8248"
"2.3200","0.0373","0.7845"
"2.3400","0.0376","0.8114"
"2.3600","0.0378","0.8246"
"2.3800","0.0381","0.8485"
"2.4000","0.0385","0.8212"
"2.4200","0.0389","0.8791"
"2.4400","0.0394","0.8324"
"2.4600","0.0399","0.8149"
"2.4800","0.0402","0.8302"
"2.5000","0.0405","0.8584"
"2.5200","0.0407","0.7820"
"2.5400","0.0409","0.8124"
"2.5600","0.0412","0.7878"
"2.5800","0.0415","0.7984"
"2.6000","0.0418","0.7485"
"2.6200","0.0422","0.7203"
