Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0401"
"0.0200","0.0000","0.0311"
"0.0400","0.0000","0.0650"
"0.0600","0.0000","0.0198"
"0.0800","0.0001","-0.0265"
"0.1000","0.0001","0.0883"
"0.1200","0.0003","0.0851"
"0.1400","0.0005","0.0817"
"0.1600","0.0005","0.0414"
"0.1800","0.0005","-0.0353"
"0.2000","0.0005","-0.0317"
"0.2200","0.0006","0.0405"
"0.2400","0.0008","0.0994"
"0.2600","0.0011","0.1695"
"0.2800","0.0015","0.2688"
"0.3000","0.0020","0.2699"
"0.3200","0.0025","0.2532"
"0.3400","0.0030","0.2660"
"0.3600","0.0035","0.2819"
"0.3800","0.0039","0.2937"
"0.4000","0.0043","0.3220"
"0.4200","0.0046","0.2967"
"0.4400","0.0050","0.2961"
"0.4600","0.0054","0.3552"
"0.4800","0.0059","0.3487"
"0.5000","0.0064","0.3544"
"0.5200","0.0068","0.3103"
"0.5400","0.0071","0.3070"
"0.5600","0.0075","0.1861"
"0.5800","0.0079","0.2550"
"0.6000","0.0083","0.3913"
"0.6200","0.0088","0.3635"
"0.6400","0.0093","0.3055"
"0.6600","0.0097","0.3730"
"0.6800","0.0099","0.3620"
"0.7000","0.0102","0.4309"
"0.7200","0.0104","0.4254"
"0.7400","0.0107","0.3693"
"0.7600","0.0110","0.3683"
"0.7800","0.0113","0.3549"
"0.8000","0.0117","0.3663"
"0.8200","0.0121","0.3826"
"0.8400","0.0124","0.4499"
"0.8600","0.0127","0.4685"
"0.8800","0.0130","0.4340"
"0.9000","0.0133","0.3926"
"0.9200","0.0137","0.3145"
"0.9400","0.0140","0.3213"
"0.9600","0.0144","0.3738"
"0.9800","0.0148","0.4004"
"1.0000","0.0151","0.4397"
"1.0200","0.0153","0.4281"
"1.0400","0.0156","0.5068"
"1.0600","0.0158","0.5525"
"1.0800","0.0161","0.5189"
"1.1000","0.0164","0.4735"
"1.1200","0.0168","0.4615"
"1.1400","0.0172","0.5072"
"1.1600","0.0175","0.4459"
"1.1800","0.0179","0.4413"
"1.2000","0.0182","0.4691"
"1.2200","0.0184","0.4601"
"1.2400","0.0187","0.4468"
"1.2600","0.0191","0.4800"
"1.2800","0.0194","0.4151"
"1.3000","0.0199","0.4355"
"1.3200","0.0204","0.5327"
"1.3400","0.0208","0.5624"
"1.3600","0.0211","0.5325"
"1.3800","0.0213","0.5194"
"1.4000","0.0216","0.5244"
"1.4200","0.0218","0.5879"
"1.4400","0.0221","0.5680"
"1.4600","0.0224","0.4932"
"1.4800","0.0228","0.4332"
"1.5000","0.0232","0.4271"
"1.5200","0.0236","0.4807"
"1.5400","0.0239","0.5607"
"1.5600","0.0243","0.5422"
"1.5800","0.0246","0.4533"
"1.6000","0.0249","0.5001"
"1.6200","0.0253","0.5743"
"1.6400","0.0257","0.6172"
"1.6600","0.0260","0.6456"
"1.6800","0.0264","0.5916"
"1.7000","0.0267","0.5005"
"1.7200","0.0269","0.4925"
"1.7400","0.0272","0.5203"
"1.7600","0.0275","0.5662"
"1.7800","0.0277","0.5692"
"1.8000","0.0281","0.6162"
"1.8200","0.0285","0.5428"
"1.8400","0.0288","0.4425"
"1.8600","0.0292","0.4942"
"1.8800","0.0295","0.5847"
"1.9000","0.0298","0.6731"
"1.9200","0.0301","0.6967"
"1.9400","0.0304","0.6387"
"1.9600","0.0308","0.6532"
"1.9800","0.0312","0.6694"
"2.0000","0.0317","0.6993"
"2.0200","0.0321","0.6845"
"2.0400","0.0324","0.6514"
"2.0600","0.0327","0.6343"
"2.0800","0.0329","0.7068"
"2.1000","0.0332","0.6225"
"2.1200","0.0334","0.5984"
"2.1400","0.0338","0.6787"
"2.1600","0.0341","0.6836"
"2.1800","0.0345","0.6478"
"2.2000","0.0349","0.6539"
"2.2200","0.0353","0.5808"
"2.2400","0.0356","0.6193"
"2.2600","0.0359","0.6505"
"2.2800","0.0362","0.6763"
"2.3000","0.0365","0.7417"
"2.3200","0.0369","0.7519"
"2.3400","0.0373","0.7123"
"2.3600","0.0377","0.7261"
"2.3800","0.0380","0.6856"
"2.4000","0.0383","0.7815"
"2.4200","0.0385","0.7749"
"2.4400","0.0388","0.7364"
"2.4600","0.0391","0.7705"
"2.4800","0.0394","0.7189"
"2.5000","0.0398","0.7767"
"2.5200","0.0401","0.8339"
"2.5400","0.0405","0.7803"
"2.5600","0.0408","0.7819"
"2.5800","0.0411","0.7050"
"2.6000","0.0414","0.7269"
"2.6200","0.0417","0.7994"
"2.6400","0.0420","0.7409"
"2.6600","0.0424","0.7732"
"2.6800","0.0429","0.8301"
"2.7000","0.0434","0.8248"
"2.7200","0.0438","0.7729"
"2.7400","0.0441","0.7861"
"2.7600","0.0443","0.8080"
"2.7800","0.0446","0.8418"
"2.8000","0.0448","0.8562"
"2.8200","0.0451","0.8810"
"2.8400","0.0454","0.9438"
"2.8600","0.0458","0.9274"
"2.8800","0.0462","0.9617"
"2.9000","0.0466","0.9269"
"2.9200","0.0469","0.8545"
"2.9400","0.0472","0.8228"
"2.9600","0.0475","0.7699"
"2.9800","0.0479","0.8127"
"3.0000","0.0482","0.8742"
"3.0200","0.0486","0.9570"
"3.0400","0.0490","1.0187"
"3.0600","0.0494","1.0383"
"3.0800","0.0497","0.9897"
"3.1000","0.0499","0.9713"
"3.1200","0.0502","0.8626"
"3.1400","0.0505","0.8306"
"3.1600","0.0508","0.9584"
"3.1800","0.0512","1.0298"
"3.2000","0.0515","0.9439"
"3.2200","0.0519","0.9580"
"3.2400","0.0522","0.9781"
"3.2600","0.0525","0.9919"
"3.2800","0.0528","0.9140"
"3.3000","0.0531","0.8759"
"3.3200","0.0534","0.8213"
"3.3400","0.0537","0.9473"
"3.3600","0.0542","1.0260"
"3.3800","0.0546","0.9871"
"3.4000","0.0551","0.9429"
"3.4200","0.0554","0.9740"
"3.4400","0.0557","0.9662"
"3.4600","0.0559","0.9130"
"3.4800","0.0562","0.8798"
"3.5000","0.0564","0.9401"
"3.5200","0.0568","0.9978"
"3.5400","0.0571","1.0122"
"3.5600","0.0575","1.0604"
"3.5800","0.0579","1.0610"
"3.6000","0.0582","1.1023"
"3.6200","0.0585","1.0670"
"3.6400","0.0588","1.1482"
"3.6600","0.0592","1.1265"
"3.6800","0.0595","1.0406"
"3.7000","0.0599","1.0252"
"3.7200","0.0603","1.0078"
"3.7400","0.0607","1.0355"
"3.7600","0.0610","1.0254"
"3.7800","0.0613","1.0730"
"3.8000","0.0615","1.1105"
"3.8200","0.0618","1.0599"
"3.8400","0.0621","0.9954"
"3.8600","0.0624","0.9950"
"3.8800","0.0628","1.1127"
"3.9000","0.0632","1.1554"
"3.9200","0.0635","1.1136"
"3.9400","0.0638","1.1992"
"3.9600","0.0641","1.1874"
"3.9800","0.0644","1.1754"
"4.0000","0.0647","1.1357"
"4.0200","0.0650","1.1281"
"4.0400","0.0654","1.1462"
"4.0600","0.0659","1.1752"
"4.0800","0.0664","1.1717"
