Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0029"
"0.0200","0.0000","0.0485"
"0.0400","0.0000","0.0681"
"0.0600","0.0000","0.0783"
"0.0800","0.0001","0.0468"
"0.1000","0.0002","0.0070"
"0.1200","0.0004","-0.0465"
"0.1400","0.0006","-0.0317"
"0.1600","0.0006","-0.0029"
"0.1800","0.0006","0.0239"
"0.2000","0.0007","0.0541"
"0.2200","0.0009","0.0098"
"0.2400","0.0012","-0.0165"
"0.2600","0.0017","0.0773"
"0.2800","0.0021","0.1909"
"0.3000","0.0025","0.1228"
"0.3200","0.0029","0.0717"
"0.3400","0.0034","0.1055"
"0.3600","0.0038","0.1095"
"0.3800","0.0043","0.1396"
"0.4000","0.0048","0.2046"
"0.4200","0.0052","0.2140"
"0.4400","0.0055","0.1883"
"0.4600","0.0057","0.2182"
"0.4800","0.0061","0.1736"
"0.5000","0.0064","0.2606"
"0.5200","0.0068","0.2229"
"0.5400","0.0072","0.2389"
"0.5600","0.0076","0.2410"
"0.5800","0.0080","0.2132"
"0.6000","0.0083","0.1591"
"0.6200","0.0086","0.1407"
"0.6400","0.0089","0.1491"
"0.6600","0.0092","0.1342"
"0.6800","0.0097","0.1429"
"0.7000","0.0102","0.2001"
"0.7200","0.0107","0.2958"
"0.7400","0.0110","0.2690"
"0.7600","0.0113","0.2365"
"0.7800","0.0115","0.2504"
"0.8000","0.0117","0.1858"
"0.8200","0.0120","0.1987"
"0.8400","0.0123","0.2283"
"0.8600","0.0126","0.2224"
"0.8800","0.0130","0.2018"
"0.9000","0.0134","0.2292"
"0.9200","0.0137","0.1686"
"0.9400","0.0140","0.2058"
"0.9600","0.0143","0.2250"
"0.9800","0.0146","0.2430"
"1.0000","0.0150","0.2059"
"1.0200","0.0154","0.2184"
"1.0400","0.0158","0.3310"
"1.0600","0.0162","0.3646"
"1.0800","0.0165","0.3560"
"1.1000","0.0168","0.3329"
"1.1200","0.0170","0.3982"
"1.1400","0.0173","0.3579"
"1.1600","0.0176","0.2680"
"1.1800","0.0179","0.2903"
"1.2000","0.0183","0.2192"
"1.2200","0.0187","0.2386"
"1.2400","0.0191","0.1883"
"1.2600","0.0194","0.2025"
"1.2800","0.0197","0.2516"
"1.3000","0.0199","0.2987"
"1.3200","0.0202","0.2727"
"1.3400","0.0205","0.2291"
"1.3600","0.0209","0.2207"
"1.3800","0.0214","0.2718"
"1.4000","0.0218","0.2692"
"1.4200","0.0223","0.1882"
"1.4400","0.0226","0.2055"
"1.4600","0.0228","0.2896"
"1.4800","0.0231","0.3601"
"1.5000","0.0233","0.3527"
"1.5200","0.0236","0.2932"
"1.5400","0.0239","0.1400"
"1.5600","0.0243","0.1939"
"1.5800","0.0246","0.2377"
"1.6000","0.0250","0.2496"
"1.6200","0.0254","0.2459"
"1.6400","0.0257","0.2970"
"1.6600","0.0260","0.2545"
"1.6800","0.0263","0.3111"
"1.7000","0.0267","0.2272"
